Name,Year,Episodes,Type,Rating,Image-src,Description,Name-href
120. Line of Duty,2012–2021,37 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMTExZDZjNTMtNDVmNy00ZTk2LWFiMzUtZDlkZGRlOGU0ZWRmXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UY207_CR3,0,140,207_.jpg","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",https://www.imdb.com/title/tt2303687/?ref_=chttvtp_t_120
121. The Crown,2016–2023,60 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BZTEyNjBjYmYtYWYxYi00MmQyLThlYmItY2I4NzM1Mjg1MWYxXkEyXkFqcGdeQXVyMTU3ODI3MTk2._V1_QL75_UX140_CR0,0,140,207_.jpg",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,https://www.imdb.com/title/tt4786824/?ref_=chttvtp_t_121
122. This Is Us,2016–2022,106 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BNzYxYWY3YzctZjRiNS00MTViLTk5OTYtZDEyNzAwNGE5ODY0XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_QL75_UX140_CR0,0,140,207_.jpg","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",https://www.imdb.com/title/tt5555260/?ref_=chttvtp_t_122
123. Ramayan,1987–1988,78 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BODFjYWEyOTktMTU3OC00YTBhLWE4ZmEtNTJiYWUzYTYwMjIzXkEyXkFqcGdeQXVyNjU1NDgwMDg@._V1_QL75_UY207_CR4,0,140,207_.jpg","An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",https://www.imdb.com/title/tt0268093/?ref_=chttvtp_t_123
124. Atlanta,2016–2022,41 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BZGU1MzRhNmMtNDExOS00NTk2LWJlYzMtMzc4YWYyN2Q3M2ZmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR13,0,140,207_.jpg","Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race,... Read all",https://www.imdb.com/title/tt4288182/?ref_=chttvtp_t_124
125. Naruto: Shippuden,2007–2017,502 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BZGFiMWFhNDAtMzUyZS00NmQ2LTljNDYtMmZjNTc5MDUxMzViXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of... Read all",https://www.imdb.com/title/tt0988824/?ref_=chttvtp_t_125
126. Father Ted,1995–1998,25 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BNWNmNDEwY2YtNmUzZi00YjEzLWFkZDQtZjhiN2M1YmVkYmFjXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_QL75_UY207_CR1,0,140,207_.jpg","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",https://www.imdb.com/title/tt0111958/?ref_=chttvtp_t_126
127. Parks and Recreation,2009–2015,124 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BYWNkOTg0OTMtZTcyNy00MWU1LWJhZDQtYjQzMjU1NjBhYzI2XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_QL75_UY207_CR1,0,140,207_.jpg",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,https://www.imdb.com/title/tt1266020/?ref_=chttvtp_t_127
128. Deadwood,2004–2006,36 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BNDJhMjUzMDYtNzc4MS00Nzk2LTkyMGQtN2M5NTczYTZmYmY5XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_QL75_UY207_CR1,0,140,207_.jpg","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",https://www.imdb.com/title/tt0348914/?ref_=chttvtp_t_128
129. The X-Files,1993–2018,217 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BZDA0MmM4YzUtMzYwZC00OGI2LWE0ODctNzNhNTkwN2FmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,0,140,207_.jpg","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",https://www.imdb.com/title/tt0106179/?ref_=chttvtp_t_129
130. Dexter,2006–2013,96 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BZjkzMmU5MjMtODllZS00OTA5LTk2ZTEtNjdhYjZhMDA5ZTRhXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UY207_CR6,0,140,207_.jpg","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",https://www.imdb.com/title/tt0773262/?ref_=chttvtp_t_130
131. Critical Role,2015–,384 eps,TV-14,9.2,"https://m.media-amazon.com/images/M/MV5BYjNjZDliYmItZDE0NC00ZGY3LTk0ZDEtZGI5MjAxZjQwMDE4XkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_QL75_UY207_CR10,0,140,207_.jpg","A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",https://www.imdb.com/title/tt4834232/?ref_=chttvtp_t_131
132. Primal,2019–,21 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BYjk3Y2U3NjEtMjNhYi00YTZmLWEzOTgtZWI4N2Y4NzlmNWExXkEyXkFqcGdeQXVyODk2MzQ0OTc@._V1_QL75_UY207_CR8,0,140,207_.jpg",A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,https://www.imdb.com/title/tt10332508/?ref_=chttvtp_t_132
133. Code Geass,2006–2008,54 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BYzZjY2MzYTAtMmQxMi00MWVjLTlkZGQtYjJmNWVhODY3YjdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",https://www.imdb.com/title/tt0994314/?ref_=chttvtp_t_133
134. Monster,2004–2005,75 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BM2ZkYTAwMGMtOGEwOS00MzBjLTgxOGYtZTYwY2E1ZjMyZmY4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan.",https://www.imdb.com/title/tt0434706/?ref_=chttvtp_t_134
135. The Jinx: The Life and Deaths of Robert Durst,2015,6 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMjI0OTc3MzY5Ml5BMl5BanBnXkFtZTgwNjk3MDUyNDE@._V1_QL75_UX140_CR0,0,140,207_.jpg","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",https://www.imdb.com/title/tt4299972/?ref_=chttvtp_t_135
136. It's a Sin,2021,5 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BZWIyNGI1N2YtNzRlZS00NTFjLTk5MzMtZjQ5MTUwMTljZDZkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UX140_CR0,0,140,207_.jpg","This poignant drama series charts the thrilling and emotional journey of a tight-knit group of friends living in London during 1980s, a decade forever changed by AIDS crisis.",https://www.imdb.com/title/tt9140342/?ref_=chttvtp_t_136
137. The Bridge,2011–2018,38 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BMjQ3MDAzNDU4NV5BMl5BanBnXkFtZTgwNjE2NDQ0NzE@._V1_QL75_UY207_CR3,0,140,207_.jpg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find ... Read all",https://www.imdb.com/title/tt1733785/?ref_=chttvtp_t_137
138. Blackadder II,1986,6 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BZGQ5MmQ1MzctNTA1OC00MWY1LTg5ZWMtMDc1ZjY5MDI5ZWEwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",https://www.imdb.com/title/tt0088484/?ref_=chttvtp_t_138
139. Daredevil,2015–2018,39 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BYjJhMjcwNjAtODc0ZC00Yjg5LWExYzEtMzc5OWJhNjI1NTQ4XkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_QL75_UX140_CR0,1,140,207_.jpg","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",https://www.imdb.com/title/tt3322312/?ref_=chttvtp_t_139
140. Yeh Meri Family,2018–2023,12 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BYzExZjIxMmItOTZmYS00MWFlLTg5ODItOGVlMjQxODM0NzkyXkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_QL75_UX140_CR0,0,140,207_.jpg",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,https://www.imdb.com/title/tt8595766/?ref_=chttvtp_t_140
141. Adventure Time,2010–2018,289 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMGFkNGY4NGMtZjY0NC00YTI0LThiZjMtMjBmZGMzOGU3YTdmXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UX140_CR0,1,140,207_.jpg","A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",https://www.imdb.com/title/tt1305826/?ref_=chttvtp_t_141
142. Demon Slayer: Kimetsu no Yaiba,2019–,55 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BYTIxNjk3YjItYmYzMC00ZTdmLTk0NGUtZmNlZTA0NWFkZDMwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his famil... Read all",https://www.imdb.com/title/tt9335498/?ref_=chttvtp_t_142
143. Lonesome Dove,1989,4 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BMmJmYTg0MDEtN2VjMC00YmUxLWFhNmMtZTBiYjQ2ZGQ5ZWMyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,https://www.imdb.com/title/tt0096639/?ref_=chttvtp_t_143
144. The Return of Sherlock Holmes,1986–1988,13 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMjM1OTc0MjMtZjFmOS00ZmQ0LTk1ZWItM2U1YTc5ODZjZjI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",https://www.imdb.com/title/tt0090509/?ref_=chttvtp_t_144
145. Archer,2009–2023,137 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BMTg3NTMwMzY2OF5BMl5BanBnXkFtZTgwMDcxMjQ0NDE@._V1_QL75_UX140_CR0,1,140,207_.jpg",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,https://www.imdb.com/title/tt1486217/?ref_=chttvtp_t_145
146. Mindhunter,2017–2019,19 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BNWNmYzQ1ZWUtYTQ3ZS00Y2UwLTlkMDctZThlOTJkMGJiNzBiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_QL75_UX140_CR0,0,140,207_.jpg","In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.",https://www.imdb.com/title/tt5290382/?ref_=chttvtp_t_146
147. Mystery Science Theater 3000,1988–1999,199 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNTA0OGRiYTMtMjliYS00ZjZkLWI2ODEtMWI5ZmM5OTBjYmNlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambo... Read all",https://www.imdb.com/title/tt0094517/?ref_=chttvtp_t_147
148. Gomorrah,2014–2021,58 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BMTgzNmNjZGQtMjM3ZC00Y2Y2LTlkZGItM2EwNTM2MmUyMDExXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_QL75_UX140_CR0,0,140,207_.jpg",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,https://www.imdb.com/title/tt2049116/?ref_=chttvtp_t_148
149. Blackadder the Third,1987,6 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BZTFiYzk5NGQtOTdjOC00ZWUxLWEwNDctMTQ3NjE3MjQzZjkxXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",https://www.imdb.com/title/tt0092324/?ref_=chttvtp_t_149
150. The Offer,2022,10 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMzU1YWU3ZWItYTA4Yy00M2Q0LTkzZTQtYzFmNzVlZTg1ZTQwXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX140_CR0,0,140,207_.jpg",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,https://www.imdb.com/title/tt13111040/?ref_=chttvtp_t_150
151. Young Justice,2010–2022,98 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BMTAwYzE4NzItY2Q3Zi00NjRmLWE5ZTAtMDM5OWIyMmQ3MTFlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Teenage superheroes strive to prove themselves as members of the Justice League.,https://www.imdb.com/title/tt1641384/?ref_=chttvtp_t_151
152. Haikyu!!,2014–2020,89 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNjkyNDI2MTgtN2Y3NS00M2RjLWJhNDMtMmNmZmUwMDQwZTE1XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",https://www.imdb.com/title/tt3398540/?ref_=chttvtp_t_152
153. Anne with an E,2017–2019,27 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BNThmMzJlNzgtYmY5ZC00MDllLThmZTMtNTRiMjQwNmY0NmRhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg","The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's clas... Read all",https://www.imdb.com/title/tt5421602/?ref_=chttvtp_t_153
154. Yellowstone,2018–2023,53 eps,Not Rated,8.7,"https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,1,140,207_.jpg",A ranching family in Montana faces off against others encroaching on their land.,https://www.imdb.com/title/tt4236770/?ref_=chttvtp_t_154
155. Dopesick,2021,8 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BZTc5NmU1YWUtMzgxNC00YmVmLTk1MDYtNjlkNjQwZGVjMTIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the... Read all",https://www.imdb.com/title/tt9174558/?ref_=chttvtp_t_155
156. Poirot,1989–2013,70 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BYjllNTYxNWEtN2YxZC00MTJiLTk3Y2YtZjljMWFjMTcwMzg0XkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_QL75_UX140_CR0,1,140,207_.jpg","Hercule Poirot, a famous Belgian detective, who has an impeccable knack for getting embroiled in a mystery, solves crimes along with Captain Hastings and Scotland Yard Chief Inspector James ... Read all",https://www.imdb.com/title/tt0094525/?ref_=chttvtp_t_156
157. Mr. Bean,1990–1995,15 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMGNhODY0ZjktYjY2ZS00MGNkLTg2ZTUtMGEwNGRlMmY3ZjQ4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",https://www.imdb.com/title/tt0096657/?ref_=chttvtp_t_157
158. Yes Minister,1980–1984,22 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BY2NhZWM1N2YtZmU4ZS00NmVmLWFkMmYtNTQxNjExNmJhYzA0XkEyXkFqcGdeQXVyNjg1NzcwODE@._V1_QL75_UY207_CR6,0,140,207_.jpg",The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed refo... Read all,https://www.imdb.com/title/tt0080306/?ref_=chttvtp_t_158
159. Pose,2018–2021,26 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNmNiZTFlMTAtYWZjNS00NGFlLWFkMTItOWRhOTBjN2Y1NDYxXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UY207_CR13,0,140,207_.jpg","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",https://www.imdb.com/title/tt7562112/?ref_=chttvtp_t_159
160. QI,2003–,324 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BMjgyYWUxNGMtMGMwZi00OWIyLTkwN2ItOWYyYWUxYzcyNzUwXkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_QL75_UX140_CR0,1,140,207_.jpg","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer s... Read all",https://www.imdb.com/title/tt0380136/?ref_=chttvtp_t_160
161. Crash Landing on You,2019–2020,19 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BMzRiZWUyN2YtNDI4YS00NTg2LTg0OTgtMGI2ZjU4ODQ4Yjk3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_QL75_UY207_CR3,0,140,207_.jpg",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love wi... Read all,https://www.imdb.com/title/tt10850932/?ref_=chttvtp_t_161
162. Justified,2010–2015,78 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BNzRjNGVhNDMtODI0ZS00NGNhLWE2MTctMGRkMzdhZmQ1YWY4XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX140_CR0,0,140,207_.jpg","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",https://www.imdb.com/title/tt1489428/?ref_=chttvtp_t_162
163. The Newsroom,2012–2014,25 eps,TV-G,8.6,"https://m.media-amazon.com/images/M/MV5BZDI0OWIwMTgtZGIyOC00ODRhLWIwNjAtOWViZmMwOWYwOGViXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,0,140,207_.jpg","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",https://www.imdb.com/title/tt1870479/?ref_=chttvtp_t_163
164. Boardwalk Empire,2010–2014,56 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BYTYxNzc5ZmYtODcyNi00ZWUwLWExNWUtY2Y0YTlhZDBlMGU1XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UY207_CR2,0,140,207_.jpg",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,https://www.imdb.com/title/tt0979432/?ref_=chttvtp_t_164
165. Heartstopper,2022–,24 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BOWVkOTM4MDAtMTkwMS00ZTE0LTk0ZGMtNDQzOTYyOGNiNjg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,https://www.imdb.com/title/tt10638036/?ref_=chttvtp_t_165
166. The Bugs Bunny Show,1960–1975,78 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BZTE2NWRmZDAtMjc4OC00NThhLTg2OTMtNzUwNTg1MDkyY2Y5XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX140_CR0,1,140,207_.jpg",TV series featuring the classic Looney Tunes animated shorts.,https://www.imdb.com/title/tt0053488/?ref_=chttvtp_t_166
167. Making a Murderer,2015–2018,20 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMTg4Mjc1NjE4Ml5BMl5BanBnXkFtZTgwMjk2NjA1NjM@._V1_QL75_UX140_CR0,0,140,207_.jpg","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",https://www.imdb.com/title/tt5189670/?ref_=chttvtp_t_167
168. The Haunting of Hill House,2018,10 eps,TV-PG,8.6,"https://m.media-amazon.com/images/M/MV5BMTU4NzA4MDEwNF5BMl5BanBnXkFtZTgwMTQxODYzNjM@._V1_QL75_UX140_CR0,0,140,207_.jpg","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",https://www.imdb.com/title/tt6763664/?ref_=chttvtp_t_168
169. The Eric Andre Show,2012–,69 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BZWI4YTVhYmMtZmZjNS00MmFjLTkyMDItNzcxYjVjZjZmODliXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_QL75_UY207_CR1,0,140,207_.jpg","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",https://www.imdb.com/title/tt2244495/?ref_=chttvtp_t_169
170. El Chavo del Ocho,1972–1983,357 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BZjM3ZmY2YzAtZjY1My00OTJjLWI5M2QtYmYxNDQ1OTBkY2E2XkEyXkFqcGdeQXVyMzQxNzU3NA@@._V1_QL75_UX140_CR0,1,140,207_.jpg","The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",https://www.imdb.com/title/tt0229889/?ref_=chttvtp_t_170
171. Justice League,2001–2004,52 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BZGQxYzExOGEtYjE2Ni00YzNlLTkyMGEtZTM0NDE3ZTIzODU1XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg",Seven of the most formidable heroes form arguably the most powerful team ever.,https://www.imdb.com/title/tt0275137/?ref_=chttvtp_t_171
172. The Queen's Gambit,2020,7 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_QL75_UX140_CR0,0,140,207_.jpg","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",https://www.imdb.com/title/tt10048342/?ref_=chttvtp_t_172
173. Homicide: Life on the Street,1993–1999,122 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BYTVmZTRhNWItNmQ3Yi00MzNiLWJiZTctOWMyOWRlMDY4YWMyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY207_CR3,0,140,207_.jpg",Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,https://www.imdb.com/title/tt0106028/?ref_=chttvtp_t_173
174. The Venture Bros.,2003–2018,86 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BNjYwZjJhZDgtMDc2Mi00Y2U4LThjMzItZmYyZDYzZDNjMDI5XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,4,140,207_.jpg","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",https://www.imdb.com/title/tt0417373/?ref_=chttvtp_t_174
175. The Bureau,2015–,50 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BOGRmMDEwOWUtNGI0Ny00YWY3LTkxNmEtZTkwN2FjMjU1YzgwXkEyXkFqcGdeQXVyNTk0MTE2NzU@._V1_QL75_UY207_CR8,0,140,207_.jpg","A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.",https://www.imdb.com/title/tt4063800/?ref_=chttvtp_t_175
176. Dragon Ball,1986–1989,153 eps,TV-MA,8.6,"https://m.media-amazon.com/images/M/MV5BYzI0YjYxY2UtNzRjNS00NTZiLTgzMDItNGEzMjU5MmE0ZWJmXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",https://www.imdb.com/title/tt0088509/?ref_=chttvtp_t_176
177. Flight of the Conchords,2007–2009,22 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BNTM4M2VhY2UtZTJmMi00YmFjLTk4OWItMzU2ZDA3NTUxZjYxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",https://www.imdb.com/title/tt0863046/?ref_=chttvtp_t_177
178. Dragon Ball,1995–2003,153 eps,TV-14,8.6,"https://m.media-amazon.com/images/M/MV5BNDYyNTJkNmItYjgxNC00ODliLTg2MGMtZjkxNjEwYzdjNjUxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR13,0,140,207_.jpg","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a... Read all",https://www.imdb.com/title/tt0280249/?ref_=chttvtp_t_178
